iter	RMSE
0	8.188856636
1	7.686643356
2	7.220970128
3	6.787029408
4	6.382782895
5	6.003639506
6	5.655264015
7	5.324187402
8	5.016205181
9	4.733299667
10	4.465633949
11	4.218621974
12	3.990545454
13	3.77810804
14	3.581776396
15	3.400650799
16	3.23491147
17	3.075549188
18	2.931861507
19	2.797691252
20	2.673081709
21	2.560189364
22	2.456552891
23	2.361166425
24	2.272542923
25	2.190777805
26	2.117880075
27	2.04804253
28	1.985323489
29	1.928945744
30	1.878030656
31	1.830330866
32	1.786906956
33	1.746845467
34	1.711673019
35	1.678029807
36	1.64793975
37	1.617860631
38	1.592217458
39	1.571025598
40	1.547632584
41	1.526955996
42	1.508454538
43	1.491311851
44	1.47704562
45	1.462185159
46	1.446839738
47	1.43195468
48	1.420158799
49	1.409777685
50	1.401129089
51	1.390531301
52	1.382167681
53	1.372816664
54	1.363136066
55	1.353797991
56	1.345640985
57	1.338783146
58	1.331478994
59	1.323149422
60	1.317058627
61	1.311316153
62	1.303284075
63	1.297868103
64	1.293605911
65	1.286784083
66	1.280052868
67	1.273744474
68	1.269192696
69	1.266211165
70	1.260768874
71	1.255315465
72	1.250124537
73	1.24660298
74	1.243011817
75	1.240388942
76	1.235156321
77	1.232392224
78	1.227330734
79	1.222188045
80	1.216885267
81	1.214189857
82	1.210483883
83	1.207653321
84	1.204725985
85	1.202766786
86	1.200381783
87	1.19686585
88	1.194312404
89	1.191193308
90	1.188433046
91	1.18684871
92	1.182305092
93	1.179881463
94	1.176714372
95	1.173267611
96	1.170540146
97	1.168492415
98	1.166741696
99	1.165091912
100	1.16149443
101	1.159064943
102	1.157074889
103	1.154523771
104	1.152627234
105	1.150734244
106	1.148643513
107	1.146759647
108	1.145614454
109	1.144306975
110	1.142168697
111	1.138350611
112	1.136095774
113	1.133781505
114	1.132372552
115	1.131025352
116	1.129825397
117	1.129057356
118	1.127055609
119	1.126169712
120	1.125060294
121	1.123815837
122	1.122622224
123	1.121665912
124	1.119842341
125	1.118440421
126	1.117768445
127	1.116589287
128	1.114308799
129	1.113485191
130	1.112149799
131	1.110259336
132	1.108947076
133	1.108360237
134	1.107705813
135	1.106786851
136	1.105974997
137	1.104059907
138	1.102527103
139	1.10027149
140	1.099284388
141	1.098717675
142	1.098085525
143	1.096763512
144	1.095955635
145	1.094469492
146	1.093043145
147	1.092289944
148	1.091958241
149	1.091489362
150	1.091247313
151	1.090076202
152	1.089272319
153	1.088795069
154	1.088299266
155	1.087454868
156	1.085731283
157	1.084061364
158	1.083037936
159	1.082662415
160	1.081057935
161	1.08032453
162	1.079775515
163	1.078430343
164	1.077689042
165	1.076985722
166	1.076668687
167	1.076100003
168	1.075945964
169	1.075232349
170	1.07485895
171	1.074607513
172	1.074163965
173	1.07323373
174	1.072992553
175	1.072826241
176	1.07269318
177	1.072420534
178	1.071866279
179	1.070599842
180	1.069441841
181	1.068816162
182	1.06860663
183	1.068283345
184	1.066834331
185	1.065259061
186	1.063785408
187	1.063225741
188	1.062930617
189	1.062396968
190	1.061890126
191	1.061637081
192	1.060400912
193	1.060250173
194	1.058810988
195	1.057513677
196	1.057302295
197	1.055995995
198	1.055543431
199	1.054526352
200	1.053300669
201	1.051973848
202	1.051594195
203	1.051354036
204	1.051107161
205	1.050987305
206	1.050701134
207	1.050546329
208	1.049529777
209	1.048418002
210	1.047016345
211	1.046703277
212	1.046324873
213	1.046111407
214	1.045979339
215	1.044348042
216	1.043991006
217	1.04380983
218	1.043041701
219	1.042784033
220	1.042651422
221	1.04182495
222	1.0416374
223	1.041434817
224	1.041090075
225	1.039586693
226	1.038347208
227	1.038224739
228	1.036583661
229	1.036403222
230	1.035791094
231	1.035138805
232	1.034881419
233	1.03393458
234	1.0338017
235	1.033395347
236	1.03216256
237	1.030846583
238	1.030472281
239	1.030355102
240	1.030242127
241	1.030015415
242	1.028677114
243	1.028476186
244	1.028150046
245	1.026974763
246	1.026673789
247	1.026467588
248	1.025937771
249	1.025651941
250	1.025547507
251	1.025451474
252	1.02533454
253	1.025247527
254	1.024182749
255	1.023808426
256	1.023696602
257	1.022330655
258	1.021427671
259	1.020361377
260	1.020243874
261	1.019790861
262	1.018521779
263	1.017844791
264	1.017611082
265	1.01738982
266	1.017186757
267	1.016988728
268	1.016860022
269	1.016691704
270	1.016562915
271	1.016036365
272	1.015432628
273	1.015300838
274	1.014992534
