iter	Passed	Remaining
0	3	3006
1	5	2601
2	7	2345
3	8	2209
4	10	2090
5	12	2002
6	13	1938
7	15	1888
8	17	1928
9	19	1977
10	21	1956
11	23	1933
12	26	2006
13	28	1988
14	29	1953
15	31	1960
16	33	1926
17	34	1894
18	36	1860
19	37	1832
20	38	1814
21	40	1786
22	41	1761
23	42	1737
24	44	1717
25	45	1696
26	47	1694
27	48	1681
28	50	1678
29	51	1663
30	52	1651
31	54	1636
32	55	1623
33	56	1609
34	58	1600
35	59	1588
36	60	1577
37	61	1567
38	63	1557
39	64	1547
40	66	1544
41	67	1536
42	68	1528
43	69	1518
44	71	1511
45	72	1502
46	73	1496
47	75	1490
48	76	1483
49	77	1475
50	78	1469
51	80	1462
52	81	1463
53	83	1458
54	84	1451
55	85	1445
56	87	1440
57	88	1434
58	89	1427
59	90	1422
60	92	1416
61	93	1412
62	94	1407
63	95	1402
64	97	1399
65	98	1397
66	100	1392
67	101	1388
68	102	1383
69	103	1379
70	105	1375
71	106	1371
72	107	1367
73	108	1363
74	110	1359
75	111	1354
76	112	1350
77	114	1350
78	115	1348
79	116	1343
80	118	1340
81	119	1336
82	120	1332
83	121	1328
84	123	1324
85	124	1322
86	125	1318
87	126	1315
88	128	1312
89	129	1313
90	131	1310
91	132	1307
92	133	1304
93	135	1302
94	136	1299
95	137	1295
96	138	1292
97	140	1288
98	141	1286
99	142	1282
100	144	1285
101	146	1293
102	148	1291
103	149	1288
104	150	1285
105	152	1282
106	153	1278
107	154	1275
108	155	1272
109	156	1268
110	158	1265
111	159	1262
112	160	1262
113	162	1261
114	163	1258
115	164	1255
116	167	1264
117	168	1261
118	170	1259
119	171	1255
120	172	1252
121	173	1250
122	174	1247
123	176	1244
124	177	1243
125	179	1241
126	180	1239
127	181	1236
128	182	1234
129	184	1232
130	185	1232
131	187	1232
132	188	1231
133	190	1229
134	191	1228
135	193	1227
136	194	1226
137	196	1224
138	197	1222
139	198	1221
140	200	1219
141	201	1218
142	203	1217
143	204	1216
144	206	1215
145	207	1214
146	210	1220
147	211	1218
148	213	1217
149	215	1218
150	216	1216
151	217	1213
152	218	1211
153	220	1209
154	221	1206
155	222	1204
156	223	1202
157	225	1201
158	226	1200
159	228	1197
160	229	1195
161	230	1193
162	231	1191
163	233	1188
164	234	1186
165	235	1184
166	236	1181
167	238	1179
168	239	1176
169	240	1175
170	242	1173
171	243	1171
172	244	1169
173	245	1167
174	247	1164
175	248	1162
176	249	1160
177	250	1157
178	251	1155
179	253	1153
180	254	1151
181	255	1150
182	257	1148
183	258	1146
184	260	1146
185	261	1143
186	262	1141
187	263	1139
188	265	1137
189	266	1135
190	267	1133
191	268	1131
192	270	1129
193	271	1126
194	272	1126
195	274	1125
196	275	1123
197	276	1121
198	278	1119
199	279	1117
200	280	1116
201	282	1114
202	283	1112
203	284	1110
204	285	1108
205	287	1106
206	289	1109
207	290	1107
208	292	1105
209	293	1104
210	294	1102
211	295	1100
212	297	1098
213	298	1096
214	299	1094
215	301	1092
216	302	1090
217	303	1089
218	305	1089
219	306	1087
220	308	1085
221	309	1083
222	310	1083
223	312	1081
224	313	1080
225	314	1078
226	316	1076
227	317	1074
228	318	1073
229	320	1073
230	322	1072
231	323	1071
232	324	1069
233	326	1068
234	327	1066
235	329	1065
236	330	1063
237	331	1062
238	333	1060
239	334	1059
240	335	1057
241	337	1057
242	339	1056
243	340	1054
244	341	1053
245	343	1051
246	344	1050
247	345	1048
248	347	1047
249	348	1045
250	349	1043
251	351	1042
252	353	1042
253	354	1040
254	355	1039
255	357	1038
256	358	1036
257	359	1035
258	361	1033
259	362	1032
260	365	1034
261	366	1032
262	368	1032
263	370	1032
264	371	1030
265	373	1029
266	374	1027
267	375	1026
268	377	1026
269	379	1025
270	380	1024
271	382	1023
272	384	1023
273	386	1023
274	387	1022
275	389	1021
276	390	1020
277	392	1019
278	394	1019
279	395	1017
280	397	1017
281	399	1017
282	401	1017
283	403	1016
284	404	1015
285	406	1014
286	407	1013
287	409	1011
288	410	1010
289	412	1009
290	413	1008
291	415	1006
292	416	1005
293	418	1004
294	419	1002
295	420	1001
296	422	1000
297	423	998
298	425	997
299	426	996
300	428	994
301	429	993
302	431	991
303	432	990
304	434	989
305	435	988
306	437	987
307	438	985
308	440	984
309	441	983
310	443	981
311	444	980
312	445	978
313	447	977
314	449	976
315	450	975
316	451	973
317	453	972
318	454	970
319	456	969
320	457	967
321	458	966
322	460	964
323	461	963
324	462	961
325	464	960
326	466	959
327	467	958
328	469	956
329	470	955
330	472	953
331	473	952
332	474	950
333	476	949
334	477	947
335	478	946
336	480	944
337	481	943
338	483	942
339	484	941
340	486	939
341	487	937
342	488	936
343	490	934
344	491	933
345	493	932
346	494	931
347	496	930
348	498	929
349	499	928
350	501	926
351	502	924
352	503	923
353	505	922
354	506	920
355	508	919
356	509	918
357	511	918
358	513	916
359	515	915
360	516	914
361	517	912
362	519	911
363	520	910
364	522	908
365	523	907
366	525	905
367	526	904
368	528	903
369	529	901
370	531	900
371	532	898
372	534	897
373	535	896
374	536	894
375	538	893
376	539	891
377	541	890
378	542	888
379	544	888
380	545	887
381	547	885
382	548	883
383	550	882
384	551	881
385	553	879
386	554	878
387	555	876
388	557	875
389	558	874
390	560	872
391	561	871
392	563	870
393	564	868
394	566	867
395	567	865
396	569	864
397	570	863
398	572	861
399	573	860
400	575	859
401	577	858
402	578	856
403	579	855
404	581	854
405	582	852
406	584	851
407	586	850
408	587	849
409	589	848
410	591	847
411	593	847
412	595	845
413	596	844
414	599	844
415	600	843
416	601	841
417	603	840
418	604	838
419	606	837
420	608	836
